,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
A1BG,8,0,11,3,10,7
A1BG-AS1,88,34,180,53,255,282
A1CF,0,0,0,0,0,0
A2M,0,0,0,0,0,0
A2M-AS1,0,0,0,4,2,4
A2ML1,0,0,0,20,31,22
A3GALT2,0,0,0,0,0,0
A4GALT,9,6,42,13,50,45
A4GNT,0,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,548,254,1914,1388,1894,2136
AACS,275,179,915,1284,2269,2447
AADAC,0,0,1,0,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADAT,1,0,3,0,2,3
AAGAB,1144,903,2413,2295,2425,2594
AAK1,718,311,908,1065,859,1104
AAMDC,58,30,183,154,303,262
AAMP,444,329,2849,917,4121,4458
AANAT,0,0,2,0,2,0
AAR2,342,206,1451,372,1141,1200
AARD,20,21,33,206,281,297
AARS1,10152,5050,22970,7515,12440,13250
AARS1P1,0,0,0,0,0,0
AARS2,132,26,522,111,543,581
AARSD1,71,4,81,145,139,154
AARSD1P1,1,0,0,0,1,3
AASDH,321,202,509,618,486,537
AASDHPPT,824,541,1949,1245,1209,1326
AASS,158,47,289,918,791,810
AATBC,0,0,2,0,4,7
AATF,683,333,1884,1271,1726,1425
AATK,13,0,30,17,17,18
ABALON,1,0,2,0,3,1
ABAT,1845,1142,3700,1979,2843,3220
ABCA1,14,7,10,114,103,139
ABCA10,0,0,0,0,2,0
ABCA12,1733,816,1992,2058,1493,1677
ABCA13,3,0,4,2,0,3
ABCA2,363,96,3114,563,4734,5951
ABCA3,1019,394,7025,388,2354,2878
ABCA4,7,0,12,17,36,37
ABCA5,820,369,1387,1714,1195,1554
ABCA6,0,0,0,0,0,2
ABCA7,29,1,171,96,595,709
ABCA8,0,1,0,0,0,2
ABCA9,0,0,0,0,0,0
ABCA9-AS1,0,0,0,1,0,0
ABCB1,0,0,0,0,1,1
ABCB10,254,212,548,464,544,579
ABCB10P3,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0
ABCB11,0,0,0,7,3,10
ABCB4,8,37,25,7,16,13
ABCB5,0,0,0,0,0,0
ABCB6,8,7,23,27,33,57
ABCB7,329,173,655,603,642,634
ABCB8,106,50,404,101,429,413
ABCB9,32,2,178,72,345,375
ABCC1,286,140,925,762,1595,1783
ABCC10,77,16,317,148,418,512
ABCC11,3818,1965,10338,5796,12523,14195
ABCC12,271,86,466,397,484,471
ABCC2,8,1,16,23,12,26
ABCC3,41,28,123,905,2455,3284
ABCC4,0,0,0,35,38,41
ABCC5,2628,942,4449,4169,5369,6068
ABCC5-AS1,0,0,1,0,0,0
ABCC6,94,39,216,368,558,666
ABCC8,4,0,4,1,3,2
ABCC9,4,0,8,5,5,7
ABCD1,16,0,180,12,174,178
ABCD1P2,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0
ABCD3,666,379,1367,2116,1785,1909
ABCD4,159,46,924,194,710,752
ABCE1,1567,984,3123,3215,2722,2984
ABCF1,1025,444,2980,2762,4662,4821
ABCF2,35,21,100,48,155,124
ABCF2-H2BK1,0,0,0,0,0,0
ABCF2P1,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0
ABCF3,698,320,3508,1420,4889,5593
ABCG1,66,8,299,155,395,491
ABCG2,2,0,3,5,0,0
ABCG4,1,0,0,3,7,7
ABCG5,0,0,0,0,0,0
ABCG8,1,0,1,0,0,0
ABHD1,9,4,44,24,26,32
ABHD10,553,297,1070,689,669,657
ABHD11,137,51,669,76,345,282
ABHD12,279,166,808,339,974,950
ABHD12B,2,1,3,2,0,3
ABHD13,262,141,531,703,519,641
ABHD14A,2,0,8,2,8,6
ABHD14A-ACY1,3,0,2,2,1,1
ABHD14B,490,321,1143,259,656,652
ABHD15,48,33,212,78,155,167
ABHD16A,46,7,116,108,135,141
ABHD16B,0,0,0,0,0,0
ABHD17A,32,7,220,51,346,346
ABHD17B,102,55,212,137,194,221
ABHD17C,270,137,508,183,229,207
ABHD18,287,169,538,504,457,547
ABHD2,1517,678,2829,1679,2043,2360
ABHD3,77,57,147,176,230,227
ABHD4,110,27,236,206,525,587
ABHD5,654,285,1099,1489,1389,1433
ABHD6,20,35,65,14,19,19
ABHD8,3,0,68,12,61,65
ABI1,1464,672,2730,2033,2249,2582
ABI2,1059,483,1607,1663,1654,1853
ABI3,0,0,0,1,0,0
ABI3BP,13,4,17,173,177,226
ABITRAM,786,492,1407,607,724,660
ABL1,562,244,1875,441,1133,1384
ABL2,786,259,1036,1157,889,1335
ABLIM1,2216,1129,3486,2738,2641,3609
ABLIM2,1,0,1,0,0,0
ABLIM3,130,85,298,220,440,422
ABO,0,0,0,0,0,0
ABR,487,208,1857,440,1506,1767
ABRA,0,0,0,0,0,0
ABRACL,76,50,355,456,1136,1257
ABRAXAS1,487,292,862,377,438,436
ABRAXAS1P1,0,0,0,0,0,0
ABRAXAS2,355,189,740,556,532,646
ABT1,105,62,690,92,310,361
ABTB1,17,11,105,6,30,26
ABTB2,54,18,153,78,179,249
ABTB3,5,0,4,7,5,12
ACAA1,121,83,629,303,1255,1225
ACAA2,188,118,432,535,722,716
ACAA2P1,5,0,4,2,2,0
ACACA,827,447,1181,6536,6389,7693
ACACB,58,35,105,68,167,219
ACAD10,580,248,1216,970,1463,1695
ACAD11,34,7,109,10,77,101
ACAD8,440,195,1163,721,1090,1161
ACAD9,567,325,2241,459,1297,1402
ACAD9-DT,2,0,15,28,32,32
ACADL,0,0,0,0,0,0
ACADM,701,520,1868,1646,1646,1814
ACADS,13,6,112,7,31,45
ACADSB,821,578,1564,1759,1638,2017
ACADVL,1405,498,4510,2025,6484,6497
ACAN,0,0,0,0,0,0
ACAP1,11,0,20,2,20,13
ACAP2,3843,2068,6172,6452,5130,7050
ACAP3,57,6,279,135,539,625
ACAT1,1964,1535,3947,2915,3098,2901
ACAT2,204,89,452,1363,2117,2006
ACBD3,2582,1425,4002,2411,2344,2481
ACBD3-AS1,1,1,0,1,4,3
ACBD4,103,27,486,135,578,632
ACBD5,603,285,1341,920,878,927
ACBD6,492,197,1311,396,668,693
ACBD7,589,270,1092,692,940,940
ACCS,455,118,1032,471,758,890
ACCSL,0,0,0,0,0,0
ACD,16,4,137,17,100,102
ACE,20,20,97,25,65,67
ACE2,2,0,0,2,1,2
ACE2-DT,0,0,0,0,0,0
ACE3P,0,0,0,0,0,0
ACER1,4,3,20,22,141,92
ACER2,44,6,77,171,170,242
ACER3,708,318,971,9895,8433,9716
ACHE,0,0,0,0,1,4
ACIN1,1121,518,2564,3275,5084,5524
ACKR1,0,0,0,0,0,0
ACKR2,33,10,63,23,36,36
ACKR3,0,0,0,6,21,28
ACKR4,0,0,0,0,0,0
ACLY,1496,887,5243,7951,18937,25507
ACMSD,0,0,0,0,0,0
ACNATP,0,0,0,0,0,0
ACO1,316,201,567,801,1099,1309
ACO2,607,278,3678,436,2713,2988
ACO2P1,0,0,0,0,0,0
ACOD1,0,0,0,0,0,0
ACOT1,13,2,103,40,172,190
ACOT11,0,0,0,2,5,16
ACOT12,1,0,0,0,0,0
ACOT13,310,199,838,628,923,1049
ACOT2,182,129,931,88,387,488
ACOT4,252,177,634,48,52,48
ACOT6,21,12,36,3,3,3
ACOT7,8,12,97,23,219,275
ACOT8,78,25,369,117,212,224
ACOT9,447,221,810,913,948,957
ACOX1,1466,680,3155,4099,4626,5009
ACOX2,28,13,60,0,2,3
ACOX3,58,39,256,116,322,382
ACOXL,0,0,1,4,1,1
ACOXL-AS1,2,11,0,0,3,0
ACP1,898,533,2306,1299,1866,1854
ACP2,242,174,1200,230,834,885
ACP3,6,0,16,6,25,17
ACP4,0,0,0,1,0,0
ACP5,0,0,2,0,0,0
ACP6,277,111,393,315,328,446
ACP7,0,0,1,0,0,0
ACR,0,0,1,0,0,1
ACRBP,2,0,10,0,3,8
ACRP1,0,0,0,0,0,0
ACRV1,3,0,1,1,1,3
ACSBG1,2,0,0,0,1,2
ACSBG2,8,2,16,0,0,3
ACSF2,99,47,428,137,573,649
ACSF3,470,200,917,531,904,1025
ACSL1,905,389,2080,1974,2531,3124
ACSL3,914,581,1538,5086,4709,5155
ACSL4,42,33,30,1874,1325,1747
ACSL5,2,0,2,1,0,0
ACSL6,6,0,4,3,6,0
ACSL6-AS1,0,0,0,0,0,0
ACSM1,26,3,63,25,13,22
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,80,57,131,138,119,145
ACSM4,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0
ACSM6,0,0,0,0,0,1
ACSS1,498,207,1915,225,543,601
ACSS2,289,114,772,594,1091,1388
ACSS3,439,258,657,309,309,343
ACTA1,0,0,0,0,0,0
ACTA2,20,13,56,7237,29674,28477
ACTA2-AS1,0,0,0,1,2,1
ACTB,9377,6393,31193,17116,47476,46447
ACTBL2,0,0,0,2,2,2
ACTBP1,0,0,0,0,0,0
ACTBP12,0,0,0,0,0,0
ACTBP14,0,0,0,0,0,1
ACTC1,0,0,0,0,1,0
ACTG1,3153,2411,20400,8017,35483,37859
ACTG1P12,0,0,0,0,0,0
ACTG1P14,0,0,0,0,1,0
ACTG1P15,0,0,0,0,0,0
ACTG1P16,0,0,0,0,0,0
ACTG1P19,0,0,0,0,0,0
ACTG1P21,0,0,0,0,0,0
ACTG1P22,0,0,0,0,0,0
ACTG1P23,0,0,0,0,0,0
ACTG1P24,5,1,4,0,0,1
ACTG2,0,0,0,1,1,0
ACTL10,1,0,3,0,2,0
ACTL11P,0,0,0,0,0,1
ACTL6A,1880,1125,4453,3686,4389,4442
ACTL6B,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0
ACTL7B,0,0,0,0,1,0
ACTL8,0,0,6,8,11,11
ACTL9,0,0,0,0,0,0
ACTMAP,398,152,636,335,506,590
ACTN1,607,300,2120,1120,4718,5010
ACTN1-DT,0,0,2,0,1,1
ACTN2,0,0,0,35,43,49
ACTN3,0,0,0,0,0,0
ACTN4,815,487,3719,1333,5271,5537
ACTN4P1,0,0,0,0,1,0
ACTP1,0,0,0,0,0,0
ACTR10,946,608,2320,1099,1427,1520
ACTR1A,1095,631,3992,2270,5478,5764
ACTR1AP1,0,0,0,0,0,0
ACTR1B,137,73,690,82,403,474
ACTR2,5332,3524,10443,22124,17891,20910
ACTR3,1573,1064,3231,5026,4455,4865
ACTR3B,90,14,234,209,242,232
ACTR3BP2,0,0,0,0,0,0
ACTR3C,69,50,133,270,237,306
ACTR3P2,0,0,0,0,0,0
ACTR5,70,10,177,64,76,90
ACTR6,482,264,1225,1220,1202,1167
ACTR6P1,0,0,0,0,0,0
ACTR8,217,113,433,216,274,310
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,14,3,30,23,43,55
ACVR1,99,73,187,263,290,287
ACVR1B,858,392,1548,1226,1715,1965
ACVR1C,0,0,0,41,30,58
ACVR2A,118,96,162,160,125,143
ACVR2B,321,99,464,345,256,388
ACVR2B-AS1,49,5,77,27,27,25
ACVRL1,0,0,0,0,1,1
ACY1,8,6,42,2,14,15
ACY3,0,0,0,2,6,6
ACYP1,164,59,284,305,367,365
ACYP2,17,15,32,27,39,44
ADA,2,0,13,15,75,78
ADA2,0,0,0,0,2,1
ADAD1,0,0,0,0,0,0
ADAD1P2,0,0,0,0,0,0
ADAD2,0,0,0,0,1,0
ADAM10,2248,1256,3683,6562,5485,6553
ADAM11,10,3,50,8,27,44
ADAM12,1,0,4,5,5,5
ADAM15,618,286,5148,637,4655,5124
ADAM17,535,228,941,1370,1251,1545
ADAM18,0,0,0,0,0,0
ADAM19,1,0,1,34,64,73
ADAM1B,0,0,0,0,0,0
ADAM2,0,0,0,0,0,0
ADAM20,3,0,1,0,0,2
ADAM20P3,0,0,0,0,0,0
ADAM21,2,0,3,7,13,14
ADAM22,433,198,624,838,628,646
ADAM23,0,0,0,0,0,3
ADAM24P,0,0,0,0,0,0
ADAM28,0,0,0,1,2,1
ADAM29,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0
ADAM32,6,0,8,35,15,21
ADAM33,0,0,2,0,0,0
ADAM3B,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0
