"drug_name","Total_Score","Total_Importance","Matched_Targets","Average_StandardValue","Matched_Gene_Names","Matched_Target_Details"
"ABEMACICLIB",1126.87031993159,17.3734513859853,8,3302.7375,"CCND1; CCND3; CCNE1; PTGS2","Gene: CCND1, Target: P24385, Standard Value: 0.6, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND1, Target: P24385, Standard Value: 10, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 5, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 1.5, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 56, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCNE1, Target: P24864, Standard Value: 347, logFC: 2.30239334013451, Effect Type: suppress; Gene: CCNE1, Target: P24864, Standard Value: 2, logFC: 2.30239334013451, Effect Type: suppress; Gene: PTGS2, Target: P35354, Standard Value: 25999.8, logFC: 6.82854706638038, Effect Type: suppress"
"ABIRATERONE ACETATE",4.41221283911924,3.23488988376348,1,17050,"AR","Gene: AR, Target: P10275, Standard Value: 17050, logFC: 1.78098041604884, Effect Type: suppress"
"ACALABRUTINIB",9.81090094258239,2.40414343519169,1,28000.1,"PTGS2","Gene: PTGS2, Target: P35354, Standard Value: 28000.1, logFC: 6.82854706638038, Effect Type: suppress"
"ACLARUBICIN",4.21258244907756,0.749613668705421,1,20630,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 20630, logFC: 8.07161671437733, Effect Type: suppress"
"ADAGRASIB",196.855436795828,9.97722202742389,2,127.5,"KRAS","Gene: KRAS, Target: P01116, Standard Value: 5, logFC: 1.02771499460468, Effect Type: suppress; Gene: KRAS, Target: P01116, Standard Value: 250, logFC: 1.02771499460468, Effect Type: promote"
"ALECTINIB",109.267809022273,10.7441502447912,3,4246.6,"ESR1; PGR; RET","Gene: ESR1, Target: P03372, Standard Value: 2700, logFC: -1.3571743946305, Effect Type: promote; Gene: PGR, Target: P06401, Standard Value: 10000, logFC: -4.54195785233846, Effect Type: promote; Gene: RET, Target: P07949, Standard Value: 39.8, logFC: 3.97389650269221, Effect Type: suppress"
"ALITRETINOIN",7.47954062674333,1.22680066376399,2,12153.6,"PTGS1; RORC","Gene: PTGS1, Target: P23219, Standard Value: 10307.2, logFC: 8.07161671437733, Effect Type: suppress; Gene: RORC, Target: P51449, Standard Value: 14000, logFC: -3.7684314108052, Effect Type: promote"
"ALPELISIB",662.04975086963,13.8007689341332,5,439.58,"PIK3CD; PIK3R1","Gene: PIK3CD, Target: O00329, Standard Value: 510, logFC: 2.47140549567912, Effect Type: suppress; Gene: PIK3CD, Target: O00329, Standard Value: 72, logFC: 2.47140549567912, Effect Type: suppress; Gene: PIK3R1, Target: P27986, Standard Value: 72, logFC: 2.73492131635019, Effect Type: suppress; Gene: PIK3R1, Target: P27986, Standard Value: 3.9, logFC: 2.73492131635019, Effect Type: suppress; Gene: PIK3R1, Target: P27986, Standard Value: 1540, logFC: 2.73492131635019, Effect Type: suppress"
"ALVOCIDIB",214.03320683624,13.7586284890473,6,147.5,"CCND1; CCND3; CCNE1","Gene: CCND1, Target: P24385, Standard Value: 20, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND1, Target: P24385, Standard Value: 100, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 100, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 395, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCNE1, Target: P24864, Standard Value: 100, logFC: 2.30239334013451, Effect Type: suppress; Gene: CCNE1, Target: P24864, Standard Value: 170, logFC: 2.30239334013451, Effect Type: suppress"
"AMRUBICIN",11.4040425331629,0.749613668705421,1,2815,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 2815, logFC: 8.07161671437733, Effect Type: suppress"
