"GeneSymbol","uniprot_id","log2FoldChange","Target_importance","Target","protein","Degree","Betweenness","Eigenvector","MCC","EPC","Score","Degree_Shifted","Betweenness_Shifted","Eigenvector_Shifted","MCC_Shifted","EPC_Shifted","Adjusted_logFC"
"AACS","Q49AB9",1.41905455024015,0.288197660999443,"Q49AB9","9606.ENSP00000324842",4,0,0.00110763907484067,5,1485,3.06565428935275,0.369648339512507,0.01,0.0243145958809207,1.26386971601022,0.100431689134722,1.19124076082048
"ABCA1","O95477",2.32634932225373,0.66465306040913,"O95477","9606.ENSP00000363868",7,3800.29618352575,0.0349231248992091,4,9085.5923670515,718.654141865441,0.729296679025015,0.474191827791949,0.461329707651392,0.84591314400681,0.563595035615142,1.52523746421786
"ABCA7","Q8IZY2",2.04057968230208,0.0122597254955929,"Q8IZY2","9606.ENSP00000263094",1,0,0.00260181663496769,2,1485,0.829974503841707,0.01,0.01,0.0436246296576138,0.01,0.100431689134722,1.42848860069028
"ABCC6","O95255",1.44848783636311,0.102132285130719,"O95255","9606.ENSP00000205557",2,159.440195476423,0.000418378610189199,2,1803.88039095284,31.4949115554875,0.129882779837503,0.0294750177848092,0.0154069243909088,0.01,0.119863557319228,1.20353140231699
"ABHD4","Q8TB40",1.04263534424847,0.01,"Q8TB40","9606.ENSP00000414558",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.0210951690457
"ABHD6","Q6ZMF7",-1.87221643338664,0.01,"Q6ZMF7","9606.ENSP00000295962",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,-1.36828960143189
"ABRAXAS1","Q6UWZ7",-1.13134117746262,0.102943657538842,"Q6UWZ7","9606.ENSP00000369857",2,0,0.000609284743090708,3,1485,1.57510086472772,0.129882779837503,0.01,0.0178741036424782,0.427956572003405,0.100431689134722,-1.06364523101578
"ACACA","Q13085",2.12985487587477,1.036236258365,"Q13085","9606.ENSP00000483300",11,4589.91344810235,0.026201349832526,6,10664.8268962047,869.840969802307,1.20882779837502,0.570640594835111,0.348613672004295,1.68182628801362,0.659830107051262,1.45940223237967
"ACAT2","Q16146",2.15714016865594,1.48997759537913,"Q16146","9606.ENSP00000356015",17,1316.83156597782,0.00648029125202402,10,4118.66313195563,259.86769619849,1.92812447740004,0.170846003044498,0.0937481744463856,3.35365257602724,0.260921315573125,1.46872058903521
"ACER1","Q8TDN7",2.22193244444037,0.380842771187039,"Q8TDN7","9606.ENSP00000301452",5,0,0.00137770787059981,6,1485,3.81093240286688,0.48953111935001,0.01,0.0278048353995067,1.68182628801362,0.100431689134722,1.49061478740833
"ACER2","Q569G5",1.44405713937352,0.380842771187039,"Q569G5","9606.ENSP00000342609",5,0,0.0013777078705998,6,1485,3.81093240286688,0.48953111935001,0.01,0.0278048353995067,1.68182628801362,0.100431689134722,1.20168928570306
"ACER3","Q9NUN7",2.94149022013993,0.0100560121674954,"Q9NUN7","9606.ENSP00000434480",1,0,5.94044089904987e-05,2,1485,0.829803984253711,0.01,0.01,0.0107677140754233,0.01,0.100431689134722,1.7150773219129
"ACKR3","P25106",5.37270662155064,0.381851271299583,"P25106","9606.ENSP00000272928",4,1960.5375109181,0.0672298298797521,3,5406.07502183619,371.081610654235,0.369648339512507,0.249472253397742,0.878846059814325,0.427956572003405,0.339373358574489,2.31790996838761
"ACLY","P53396",2.04880743951793,1.03486311582412,"P53396","9606.ENSP00000466259",11,5055.06951298284,0.0123154890451831,6,11595.1390259656,957.159134976989,1.20882779837502,0.627457651595424,0.169159470591141,1.68182628801362,0.716521277749916,1.43136558555735
"ACOT4","Q17RF4",-3.50629526174378,0.01,"Q17RF4","9606.ENSP00000323071",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,-1.87251041699206
"ACOX2","Q99424",-4.78599201315554,0.102900267462448,"Q99424","9606.ENSP00000307697",2,0,0.000559225845091468,3,1485,1.57509750727743,0.129882779837503,0.01,0.0172271664664794,0.427956572003405,0.100431689134722,-2.18769102323787
"ACSL3","O95573",1.38002070691368,0.485646528788682,"O95573","9606.ENSP00000350012",6,1159.85900187553,0.00484823729241811,3,3804.71800375105,222.243997003349,0.609413899187512,0.151672397113544,0.0726562922455201,0.427956572003405,0.24179019142275,1.17474282586176
"ACSL4","O60488",4.32383859730421,0.610923550798887,"O60488","9606.ENSP00000339787",7,2656.5855502506,0.00814441297214225,3,6798.1711005012,503.944695738821,0.729296679025015,0.334491892921996,0.115254484995769,0.427956572003405,0.424204625307306,2.07938418703813
"ACSS1","Q5TF42",-1.33525498689104,0.714664119779798,"Q5TF42","9606.ENSP00000316924",8,3356.92136989994,0.00269393651446657,4,8198.84273979991,636.15663023994,0.849179458862517,0.420035268620044,0.0448151427747275,0.84591314400681,0.509558467803857,-1.1555323391801
"ACSS3","Q8NC66",-1.25678262421763,0.194991585891241,"Q8NC66","9606.ENSP00000449535",3,0,0.000190388064267494,4,1485,2.32033276932747,0.249765559675005,0.01,0.0124604839811488,0.84591314400681,0.100431689134722,-1.12106316691685
"ACTA2","P03996",8.68810523107018,1.06032467641933,"P03996","9606.ENSP00000224784",12,1651.9488613194,0.0300381089372892,6,4788.89772263881,319.061484902845,1.32871057821253,0.211779315169919,0.398198105530197,1.68182628801362,0.301763934273933,2.94755919890851
"ACTN1","P12814",1.05393989882567,1.68180242258443,"P12814","9606.ENSP00000377941",17,6323.18474156045,0.110273201700412,7,14131.3694831209,1199.63640570937,1.92812447740004,0.782353137993572,1.4351179420189,2.09978286001703,0.871073571736087,1.02661575033002
"ACTN2","P35609",7.54178836146377,0.933282270308518,"P35609","9606.ENSP00000355537",10,4289.95558711221,0.0269325492745958,4,10064.9111742244,812.777379178783,1.08894501853752,0.534001874843449,0.358063342713221,0.84591314400681,0.623272565220296,2.74623166565819
"ACVR1C","Q4ZFZ8",7.56754366598504,0.0100121678099807,"Q4ZFZ8","9606.ENSP00000243349",1,0,8.82140930348655e-06,2,1485,0.829800591651922,0.01,0.01,0.0101140036607121,0.01,0.100431689134722,2.75091687733109
"ADA","P00813",2.50419609303452,0.315830210503233,"P00813","9606.ENSP00000361965",4,1583.29282415349,0.00103842653911364,3,4651.58564830699,300.260798597362,0.369648339512507,0.203393239495305,0.0234201262821765,0.427956572003405,0.293396439111926,1.58246519488882
"ADAM19","Q9BZL5",5.18119172210957,0.0109166322714898,"Q9BZL5","9606.ENSP00000257527",1,0,0.00105229719881907,2,1485,0.829870577573125,0.01,0.01,0.0235993840321014,0.01,0.100431689134722,2.27622312660898
"ADAM9","Q8NFM6",1.9332270214473,0.0122849699625261,"Q8NFM6","9606.ENSP00000419446",1,0,0.00263094104082887,2,1485,0.829976457215608,0.01,0.01,0.0440010195030467,0.01,0.100431689134722,1.39040534429615
